domain,stimulus,code,ASL_01,ASL_02,ASL_03,ASL_04,ASL_05,ASL_06,ASL_07,ASL_08,ASL_09,ASL_10,ASL_11,ASL_12,ASL_13,BSL_01,BSL_02,BSL_03,BSL_04,BSL_05,BSL_06,BSL_07,BSL_08,BSL_09,BSL_10,BSL_11,BSL_12,BSL_13,BSL_14,BSL_15,CAN_01,CAN_02,CAN_03,CAN_04,CAN_05,CAN_06,CAN_07,CAN_08,CAN_09,CAN_10,CAN_11,CAN_12,DOG_01,DOG_02,DOG_03,DOG_04,DOG_05,DOG_06,DOG_07,DOG_08,DOG_09,DOG_10,DOG_11,DOG_12,DOG_13,ENG_01,ENG_02,ENG_03,ENG_04,ENG_05,ENG_06,ENG_07,ENG_08,ENG_09,ENG_10,ENG_11,ENG_12,ENG_13,ENG_14,ENG_15,ENG_16,ENG_17,FAR_01,FAR_02,FAR_03,FAR_04,FAR_05,FAR_06,FAR_07,FAR_08,FAR_09,FAR_10,FAR_11,FAR_12,FAR_13,KAT_01,KAT_02,KAT_03,KAT_04,KAT_05,KAT_06,KAT_07,KAT_08,KAT_09,KAT_10,KAT_11,KAT_12,KAT_13,KIL_01,KIL_02,KIL_03,KIL_04,KIL_05,KIL_06,KIL_07,KIL_08,KIL_09,KIL_10,KIL_11,KIL_12,KIL_13,KIL_14,KIL_15,KIL_16,KIL_17,KIL_18,KIL_19,KIL_20,KIL_21,KIL_22,KIL_23,KIL_24,KIL_25,KIL_26,KIL_27,KIL_28,KIL_29,KIL_30,KIL_31,KIL_32,KIL_33,KIL_34,KIL_35,KIL_36,KIL_37,KIL_38,KIL_39,KIL_40,KIL_41,KIL_42,KIL_43,KIL_44,KIL_45,KIL_46,KIL_47,KIL_48,KIL_49,KIL_50,KIL_51,KIL_52,KIL_53,KIL_54,LAO_01,LAO_02,LAO_03,LAO_04,LAO_05,LAO_06,LAO_07,LAO_08,LAO_09,LAO_10,LAO_11,LAO_12,LAO_13,LAO_14,LAO_15,LAO_16,LAO_17,LAO_18,MAL_01,MAL_02,MAL_03,MAL_04,MAL_05,MAL_06,MAL_07,MAL_08,MAL_09,MAL_10,MAL_11,MAL_12,MAL_13,MAL_14,MAL_15,MIA_01,MIA_02,MIA_03,MIA_04,MIA_05,MIA_06,MIA_07,MIA_08,MIA_09,MIA_10,MIA_11,MIA_12,SEM_01,SEM_02,SEM_03,SEM_04,SEM_05,SEM_06,SEM_07,SEM_08,SEM_09,SEM_10,SEM_11,SEM_12,SIW_01,SIW_02,SIW_03,SIW_04,SIW_05,SIW_06,SIW_07,SIW_08,SIW_09,SIW_10,SIW_11,SIW_12,SIW_14,SIW_15,SIW_16,SIW_17,TUR_01,TUR_02,TUR_03,TUR_04,TUR_05,TUR_06,TUR_07,TUR_08,TUR_09,TUR_10,TUR_11,TUR_12,TUR_13,TZE_01,TZE_02,TZE_03,TZE_04,TZE_05,TZE_06,TZE_07,TZE_08,TZE_09,TZE_10,TZE_11,TZE_12,TZE_13,UMP_01,UMP_02,UMP_03,UMP_04,UMP_05,UMP_06,UMP_07,UMP_08,UMP_09,UMP_10,UMP_11,UMP_14,UMP_15,YEL_01,YEL_02,YEL_03,YEL_04,YEL_05,YEL_06,YEL_07,YEL_08,YEL_09,YEL_10,YEL_11,YEL_12,YUC_01,YUC_02,YUC_03,YUC_04,YUC_05,YUC_06,YUC_07,YUC_08,YUC_09,YUC_10,YUC_11,YUC_12,YUC_13,YUR_01,YUR_02,YUR_03,YUR_04,YUR_05,YUR_06,YUR_07,YUR_08,YUR_09,YUR_10,YUR_11,YUR_12,YUR_13,YUR_14,YUR_15,ZAP_01,ZAP_02,ZAP_03,ZAP_04,ZAP_05,ZAP_06,ZAP_07,ZAP_12,ZAP_14,ZAP_15,ZAP_16
colour,1,10G 4/10,5,5,28,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,12,15,5,5,5,5,5,5,4,4,4,8,4,8,8,4,8,4,4,4,5,6,5,5,5,5,5,5,5,5,5,NA,NA,5,5,5,8,5,9,5,5,5,52,5,183,5,5,5,11,5,4,11,4,4,6,4,4,4,11,4,4,4,4,NA,10,11,NA,9,NA,NA,NA,26,19,17,10,34,5,5,5,9,9,5,5,5,12,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,6,4,6,6,6,10,8,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,10,5,10,5,5,5,8,5,5,5,10,8,8,8,8,8,8,8,8,8,8,8,8,6,60,NA,53,11,6,15,16,12,20,13,NA,4,4,6,6,4,8,NA,6,4,NA,NA,NA,4,14,NA,NA,9,10,11,12,5,5,5,5,5,5,5,5,5,3,3,3,6,3,3,3,3,3,3,3,13,3,19,15,14,15,20,15,9,8,6,14,12,NA,NA,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,8,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,11
colour,2,5Y 4/6,25,13,77,22,3,9,20,5,5,10,15,4,5,4,10,5,6,11,10,4,55,35,31,60,14,9,4,NA,7,8,3,8,11,7,18,4,3,3,11,3,6,6,6,6,6,13,6,6,6,6,6,NA,NA,64,5,35,5,4,31,5,55,4,50,10,19,5,20,11,10,4,6,6,10,6,15,8,6,8,15,8,6,6,8,NA,15,10,NA,6,NA,NA,NA,24,41,7,7,NA,12,9,6,5,12,12,12,12,12,9,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8,8,8,8,8,9,8,8,4,NA,NA,NA,NA,NA,NA,NA,NA,11,6,6,4,10,6,10,6,9,5,6,11,6,8,11,14,3,8,6,6,6,14,0,5,0,3,0,7,12,NA,69,12,100,38,59,7,16,5,NA,4,4,11,8,0,29,NA,0,6,NA,NA,NA,6,42,NA,NA,8,12,18,5,10,10,4,11,5,5,4,7,8,13,28,23,6,9,34,15,6,22,6,6,3,15,23,13,7,19,20,18,14,8,6,27,12,NA,NA,0,0,0,0,8,0,0,0,0,0,0,0,7,9,14,7,7,7,12,14,10,9,7,14,7,10,11,8,5,5,8,8,8,9,12,NA,NA,NA,NA,NA,10,7,5,12,15,13,5,12,6,5,9
colour,3,10P 4/12,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,6,6,6,14,6,6,6,6,6,6,12,3,3,7,3,3,3,3,3,3,3,3,6,5,5,5,5,5,5,6,5,5,5,NA,NA,6,8,26,6,5,7,6,6,5,6,38,9,6,6,6,7,6,7,7,7,7,15,7,7,7,7,7,7,14,7,NA,22,24,NA,5,NA,NA,NA,39,87,7,19,7,12,6,12,6,6,6,8,4,7,10,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,14,4,6,6,9,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,9,4,9,4,10,4,4,4,4,4,9,10,5,10,10,3,3,10,10,3,0,7,3,8,19,NA,20,25,70,40,56,32,12,11,NA,4,0,6,26,10,26,NA,10,33,NA,NA,NA,5,6,NA,NA,13,7,9,4,7,7,3,5,4,7,3,4,3,19,16,13,8,28,10,14,11,17,7,11,22,18,15,14,8,9,15,7,9,7,6,6,12,NA,NA,0,0,0,0,15,12,0,0,0,0,0,0,5,7,7,5,7,11,5,15,7,7,5,12,5,12,12,17,8,5,53,9,9,4,9,NA,NA,NA,NA,NA,7,7,7,5,7,7,9,12,7,7,6
colour,4,5P 8/4,43,21,13,11,11,11,22,11,6,6,13,8,11,22,16,17,6,10,19,8,19,16,10,10,11,11,4,NA,13,7,8,3,7,7,7,7,7,7,8,8,5,6,6,5,6,5,5,5,5,6,5,NA,NA,4,13,28,18,9,19,4,8,5,33,8,8,6,31,18,9,8,19,14,17,14,14,0,14,7,14,14,5,5,14,NA,17,5,NA,25,NA,NA,NA,17,21,17,14,6,8,10,8,8,5,12,12,8,8,5,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10,6,11,6,8,5,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,10,9,8,8,8,12,8,8,8,8,8,8,10,4,3,4,4,4,4,4,4,0,4,4,14,14,NA,91,15,109,48,42,13,7,18,NA,8,5,0,12,9,11,NA,8,6,NA,NA,NA,14,12,NA,NA,7,10,4,9,5,5,4,9,5,8,4,8,4,75,20,11,6,6,9,12,6,3,3,3,3,26,13,14,6,6,15,6,23,13,17,6,12,NA,NA,0,0,0,0,0,0,12,0,12,0,0,12,12,12,12,7,12,12,15,14,10,6,12,12,12,11,7,16,7,12,8,7,7,7,7,NA,NA,NA,NA,NA,13,6,4,9,4,7,10,9,15,9,5
colour,5,10Y 8/12,28,9,17,27,9,10,22,16,6,9,7,5,11,6,19,9,20,20,8,6,4,74,23,30,6,18,6,NA,5,8,5,4,9,9,12,8,5,5,16,5,8,4,8,21,8,5,22,8,8,8,8,NA,NA,6,4,92,12,10,17,6,11,6,22,12,10,11,14,6,28,14,4,4,4,4,14,4,4,4,11,4,6,7,10,NA,9,12,NA,9,NA,NA,NA,32,16,34,6,8,6,6,5,10,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,11,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,12,9,6,6,6,6,6,6,11,8,8,8,8,8,8,8,8,8,8,8,8,5,55,NA,10,10,19,54,25,5,5,13,NA,6,4,16,25,0,15,NA,0,8,NA,NA,NA,5,26,NA,NA,4,12,8,11,9,5,11,4,11,4,11,11,5,3,37,24,3,6,8,18,3,3,3,3,3,3,10,15,9,25,28,7,7,7,6,6,12,NA,NA,10,8,0,14,10,10,10,0,10,9,9,10,3,7,3,3,3,7,3,3,3,3,3,3,7,7,7,12,7,7,7,7,7,7,10,NA,NA,NA,NA,NA,6,6,6,6,7,6,13,14,6,6,13
colour,6,5BG 8/4,39,18,30,48,9,4,8,16,10,9,6,4,6,10,4,13,9,10,9,4,12,38,53,7,4,9,10,21,9,4,8,9,8,9,12,9,5,9,18,8,6,6,5,6,11,5,5,6,6,5,7,NA,NA,6,11,31,10,9,22,21,116,4,18,9,20,8,19,15,12,9,4,29,11,4,11,11,11,11,11,11,11,11,4,NA,20,11,NA,6,NA,NA,NA,28,23,17,20,23,12,5,12,9,12,10,12,12,12,9,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,11,4,11,11,11,11,9,11,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,11,4,9,14,5,5,11,9,5,9,8,14,14,8,8,8,14,8,14,8,8,3,8,12,12,NA,71,30,51,34,59,25,32,59,NA,4,25,9,6,4,0,NA,6,12,NA,NA,NA,7,25,NA,NA,9,8,8,11,8,4,9,8,9,9,8,7,5,24,29,11,9,15,26,20,5,12,3,8,15,20,44,15,6,26,15,12,7,13,6,6,12,NA,NA,15,8,0,0,8,16,15,15,0,15,15,8,8,5,9,5,8,10,4,7,7,7,7,10,10,13,13,13,8,19,13,13,8,8,9,NA,NA,NA,NA,NA,13,13,25,13,14,13,13,7,13,12,13
colour,7,10RP 6/12,6,18,21,12,9,4,4,7,10,6,4,4,8,6,8,4,8,4,9,27,17,4,4,12,9,4,8,NA,9,9,4,5,9,9,18,9,8,9,13,9,5,5,5,5,5,5,5,5,6,5,5,NA,NA,47,6,213,39,5,56,20,11,5,29,11,22,4,3,20,13,10,6,8,7,8,7,7,14,7,14,7,7,7,14,NA,8,24,NA,3,NA,NA,NA,33,11,14,7,13,7,6,3,6,7,12,7,12,7,7,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6,4,11,4,9,8,8,11,NA,NA,NA,NA,NA,NA,NA,NA,14,14,10,14,24,14,9,16,10,10,16,9,4,10,11,23,4,4,10,4,4,14,4,4,4,4,4,12,17,NA,35,18,14,12,61,25,52,25,NA,6,6,14,8,6,10,NA,8,11,NA,NA,NA,5,8,NA,NA,7,9,9,7,5,5,5,5,9,9,12,19,5,28,28,13,7,15,23,4,18,4,4,16,7,17,9,16,8,21,19,9,9,26,9,5,21,NA,NA,15,13,0,8,8,8,15,8,6,6,15,8,11,7,16,11,10,10,7,7,16,14,7,11,11,9,9,9,9,12,9,9,9,9,9,NA,NA,NA,NA,NA,12,6,14,5,15,13,6,7,8,6,11
colour,8,5GY 4/8,17,12,5,9,9,5,5,7,9,11,5,14,12,5,5,5,5,20,9,9,9,21,13,5,10,9,5,9,8,4,4,8,8,13,4,4,4,4,4,8,6,6,5,18,5,5,5,5,5,30,6,NA,NA,5,11,5,5,10,19,5,5,10,5,24,12,5,5,5,35,12,17,11,4,17,6,11,7,10,22,11,11,13,11,NA,22,8,NA,13,NA,NA,NA,11,13,10,6,24,12,12,12,9,5,9,12,12,12,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,6,6,6,9,13,16,10,10,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,5,10,5,13,7,10,5,11,10,10,8,10,14,9,3,8,8,14,14,8,13,3,3,8,11,53,NA,25,37,41,16,47,12,72,80,NA,4,5,14,6,15,8,NA,6,18,NA,NA,NA,13,6,NA,NA,9,15,9,5,5,5,9,5,12,5,11,9,5,44,18,9,33,3,15,18,14,3,3,14,18,17,19,15,14,23,7,7,14,12,4,6,12,NA,NA,8,8,0,8,0,0,18,0,0,8,8,0,10,4,4,7,7,7,4,7,4,4,7,11,7,20,16,13,8,21,9,13,13,7,10,NA,NA,NA,NA,NA,18,13,14,15,24,11,12,13,NA,7,14
colour,9,10B 2/6,23,19,33,8,8,12,8,8,8,15,4,4,8,4,8,4,13,8,8,8,8,21,28,31,8,8,NA,NA,5,9,5,5,9,5,9,9,9,9,9,9,6,5,5,5,6,5,6,6,6,6,23,NA,NA,16,8,8,4,4,4,4,8,4,17,8,8,8,8,4,8,9,7,7,11,7,11,7,9,11,11,11,11,7,7,NA,10,10,NA,9,NA,NA,NA,10,11,12,44,16,7,8,7,4,4,4,7,4,12,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,4,8,11,4,4,8,10,9,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,10,9,9,9,11,9,4,9,9,4,9,7,5,11,5,5,5,5,6,5,5,5,5,5,10,21,NA,51,27,87,15,10,17,39,51,NA,4,0,4,13,11,0,NA,8,7,NA,NA,NA,7,4,NA,NA,12,8,8,8,8,8,10,9,8,12,8,8,8,52,42,19,9,13,12,6,3,12,3,17,16,27,14,14,7,14,7,7,21,10,4,21,19,NA,NA,14,10,10,14,13,10,10,10,10,14,10,14,5,8,8,5,5,8,12,12,12,12,8,8,5,12,4,16,11,14,9,13,11,5,8,NA,NA,NA,NA,NA,7,5,15,12,7,12,7,12,7,5,11
colour,10,10YR 2/2,5,5,16,27,17,5,9,5,9,7,5,5,9,12,5,5,5,26,15,5,4,10,19,5,19,5,5,26,3,5,5,7,14,7,7,5,7,7,7,7,6,5,5,5,5,5,5,5,5,5,6,NA,NA,5,32,5,10,5,5,5,74,5,10,9,5,5,5,5,5,5,6,6,6,8,15,4,8,11,6,6,6,13,8,NA,19,24,NA,10,NA,NA,NA,41,71,12,9,20,12,5,7,7,5,9,12,7,7,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,8,4,4,4,11,4,8,9,NA,NA,NA,NA,NA,NA,NA,NA,5,11,11,5,6,6,11,5,11,6,11,11,6,6,11,13,9,5,6,3,6,12,5,5,5,9,5,7,38,NA,133,41,53,15,47,10,11,27,NA,8,4,8,NA,11,11,NA,8,6,NA,NA,NA,11,18,NA,NA,9,10,5,5,10,10,10,11,5,5,14,5,10,16,18,7,15,6,19,11,11,7,3,6,12,15,14,20,14,14,7,14,14,13,14,6,36,NA,NA,10,0,0,7,10,0,0,10,10,0,0,10,3,3,3,7,11,3,11,7,3,5,3,7,8,7,11,20,11,11,18,11,13,9,9,NA,NA,NA,NA,NA,12,6,6,5,5,5,11,6,6,6,5
